method;diff;n_samples;lambd;dim;num_item;lr;step_mu;n_iter_mu;best_relat_regret
SG;IMLE;1;10;10;200;0,001;1;30;0,240090936
SG;IMLE;1;10;10;200;0,001;1;50;0,244349018
SG;IMLE;1;10;10;200;0,001;1;10;0,245192602
SG;IMLE;1;5;10;200;0,001;1;10;0,259394526
SG;IMLE;1;5;10;200;0,001;1;30;0,262317628
SG;IMLE;1;5;10;200;0,001;1;50;0,262337565
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;1;10;0,476811707
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;1;30;0,478164524
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;1;50;0,480835855
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;10;10;0,563809633
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;10;30;0,565438151
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;10;50;0,566838682
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;30;50;0,626412094
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;30;10;0,628272474
SG;SPOPlus;#VALEUR!;#VALEUR!;10;200;0,001;30;30;0,629412532
