method;diff;n_samples;lambd;dim;num_item;lr;step_mu;n_iter_mu;best_relat_regret
SG;IMLE;1;10;5;50;0,001;1;30;0,240477934
SG;IMLE;1;5;5;50;0,001;1;10;0,241088688
SG;IMLE;1;5;5;50;0,001;1;30;0,241429135
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;30;0,469061732
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;50;0,469524592
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;1;10;0,472918391
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;50;0,543569684
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;30;0,550163269
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;10;10;0,554640591
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;10;0,601498723
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;50;0,603755355
SG;SPOPlus;#VALEUR!;#VALEUR!;5;50;0,001;30;30;0,608114421
cla;IMLE;10;10;5;100;0,01;0;0;0,233281583
cla;IMLE;5;1;5;100;0,01;0;0;0,2378508
cla;IMLE;5;10;5;100;0,01;0;0;0,239719883
cla;IMLE;10;1;5;100;0,01;0;0;0,240756944
cla;IMLE;1;10;5;100;0,001;0;0;0,242145076
cla;IMLE;1;10;5;100;0,01;0;0;0,247561291
cla;IMLE;5;10;5;100;0,001;0;0;0,270480484
cla;IMLE;10;10;5;100;0,1;0;0;0,278667241
cla;IMLE;1;1;5;100;0,001;0;0;0,279570073
cla;IMLE;1;1;5;100;0,01;0;0;0,279658109
cla;IMLE;1;100;5;100;0,1;0;0;0,280074507
cla;IMLE;5;10;5;100;0,1;0;0;0,280362517
cla;IMLE;1;10;5;100;0,1;0;0;0,282622486
cla;IMLE;5;100;5;100;0,1;0;0;0,29483071
cla;IMLE;10;100;5;100;0,1;0;0;0,306145996
cla;IMLE;10;1;5;100;0,1;0;0;0,336120754
cla;IMLE;10;10;5;100;0,001;0;0;0,341688484
cla;IMLE;5;1;5;100;0,1;0;0;0,342889011
cla;IMLE;5;1;5;100;0,001;0;0;0,345661074
cla;IMLE;1;1;5;100;0,1;0;0;0,354335785
cla;IMLE;1;100;5;100;0,01;0;0;0,362416685
cla;IMLE;5;100;5;100;0,01;0;0;0,368189156
cla;IMLE;10;100;5;100;0,01;0;0;0,375404537
cla;IMLE;1;100;5;100;0,001;0;0;0,377839029
cla;IMLE;10;1;5;100;0,001;0;0;0,385234952
cla;IMLE;5;100;5;100;0,001;0;0;0,411947876
cla;IMLE;10;100;5;100;0,001;0;0;0,447938591
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;0;0;0,473688811
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,01;0;0;0,520914018
cla;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,1;0;0;0,607883334
LD;IMLE;1;100;5;100;0,1;0;0;0,313864559
LD;IMLE;10;100;5;100;0,1;0;0;0,320580482
LD;IMLE;5;100;5;100;0,1;0;0;0,322313637
LD;IMLE;10;10;5;100;0,1;0;0;0,327850133
LD;IMLE;5;10;5;100;0,1;0;0;0,330535054
LD;IMLE;5;10;5;100;0,01;0;0;0,332452804
LD;IMLE;10;10;5;100;0,01;0;0;0,33947131
LD;IMLE;5;1;5;100;0,01;0;0;0,342099905
LD;IMLE;1;10;5;100;0,1;0;0;0,349603266
LD;IMLE;10;1;5;100;0,01;0;0;0,350060731
LD;IMLE;10;1;5;100;0,1;0;0;0,351667672
LD;IMLE;1;10;5;100;0,01;0;0;0,360483319
LD;IMLE;5;1;5;100;0,1;0;0;0,373940647
LD;IMLE;1;1;5;100;0,1;0;0;0,40266037
LD;IMLE;1;1;5;100;0,01;0;0;0,404772818
LD;IMLE;10;1;5;100;0,001;0;0;0,410008013
LD;IMLE;10;100;5;100;0,01;0;0;0,417763889
LD;IMLE;5;1;5;100;0,001;0;0;0,422864795
LD;IMLE;10;10;5;100;0,001;0;0;0,441732705
LD;IMLE;5;10;5;100;0,001;0;0;0,44646889
LD;IMLE;1;1;5;100;0,001;0;0;0,460893154
LD;IMLE;1;100;5;100;0,01;0;0;0,471187055
LD;IMLE;5;100;5;100;0,01;0;0;0,472162306
LD;IMLE;1;10;5;100;0,001;0;0;0,473433435
LD;IMLE;1;100;5;100;0,001;0;0;0,49675253
LD;IMLE;10;100;5;100;0,001;0;0;0,501466215
LD;IMLE;5;100;5;100;0,001;0;0;0,503111303
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;0;0;0,469668716
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,01;0;0;0,489164501
LD;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,1;0;0;0,594101548
MSE;IMLE;10;1;5;100;0,001;0;0;0,135027319
MSE;IMLE;1;10;5;100;0,001;0;0;0,137211919
MSE;IMLE;10;100;5;100;0,001;0;0;0,137655959
MSE;IMLE;5;10;5;100;0,001;0;0;0,137912706
MSE;IMLE;5;1;5;100;0,001;0;0;0,137927279
MSE;IMLE;5;10;5;100;0,01;0;0;0,138193861
MSE;IMLE;1;1;5;100;0,001;0;0;0,138382971
MSE;IMLE;5;100;5;100;0,001;0;0;0,138506502
MSE;IMLE;5;100;5;100;0,01;0;0;0,139086962
MSE;IMLE;1;10;5;100;0,01;0;0;0,139108345
MSE;IMLE;10;10;5;100;0,001;0;0;0,139805809
MSE;IMLE;1;100;5;100;0,01;0;0;0,139875174
MSE;IMLE;10;100;5;100;0,01;0;0;0,13995266
MSE;IMLE;5;1;5;100;0,01;0;0;0,140502945
MSE;IMLE;1;100;5;100;0,001;0;0;0,140819088
MSE;IMLE;10;1;5;100;0,01;0;0;0,140976295
MSE;IMLE;10;10;5;100;0,01;0;0;0,142263085
MSE;IMLE;1;1;5;100;0,01;0;0;0,142303228
MSE;IMLE;1;100;5;100;0,1;0;0;0,155451015
MSE;IMLE;1;1;5;100;0,1;0;0;0,155879572
MSE;IMLE;10;10;5;100;0,1;0;0;0,156321898
MSE;IMLE;5;100;5;100;0,1;0;0;0,156990588
MSE;IMLE;5;10;5;100;0,1;0;0;0,158294708
MSE;IMLE;10;1;5;100;0,1;0;0;0,158860892
MSE;IMLE;10;100;5;100;0,1;0;0;0,159298703
MSE;IMLE;1;10;5;100;0,1;0;0;0,159545183
MSE;IMLE;5;1;5;100;0,1;0;0;0,15971598
SG;IMLE;10;5;5;100;0,001;10;30;0,200663105
SG;IMLE;10;10;5;100;0,001;30;30;0,201252624
SG;IMLE;10;5;5;100;0,001;30;50;0,201985121
SG;IMLE;10;10;5;100;0,001;10;10;0,202260852
SG;IMLE;5;5;5;100;0,001;30;30;0,202322349
SG;IMLE;10;5;5;100;0,001;10;10;0,202751264
SG;IMLE;10;5;5;100;0,001;30;30;0,202797085
SG;IMLE;5;10;5;100;0,001;30;50;0,203155726
SG;IMLE;10;10;5;100;0,001;30;50;0,203578696
SG;IMLE;5;5;5;100;0,001;10;30;0,203649595
SG;IMLE;5;5;5;100;0,001;30;10;0,204650983
SG;IMLE;10;10;5;100;0,001;30;10;0,204876244
SG;IMLE;5;10;5;100;0,001;10;10;0,205970243
SG;IMLE;5;10;5;100;0,001;30;30;0,206046194
SG;IMLE;10;10;5;100;0,001;10;50;0,206642315
SG;IMLE;10;5;5;100;0,001;30;10;0,206656948
SG;IMLE;5;5;5;100;0,001;30;50;0,207369953
SG;IMLE;10;10;5;100;0,001;10;30;0,207371175
SG;IMLE;5;10;5;100;0,001;30;10;0,20790188
SG;IMLE;10;5;5;100;0,001;10;50;0,208672971
SG;IMLE;5;5;5;100;0,001;10;10;0,208809242
SG;IMLE;10;10;5;100;0,001;1;30;0,208970606
SG;IMLE;5;5;5;100;0,001;10;50;0,209365427
SG;IMLE;5;10;5;100;0,001;10;50;0,209375173
SG;IMLE;1;10;5;100;0,001;30;30;0,211956173
SG;IMLE;5;10;5;100;0,001;10;30;0,212114945
SG;IMLE;1;10;5;100;0,001;30;10;0,212268308
SG;IMLE;10;10;5;100;0,001;1;10;0,212275788
SG;IMLE;5;10;5;100;0,001;1;30;0,213132516
SG;IMLE;1;5;5;100;0,001;10;30;0,213479131
SG;IMLE;1;5;5;100;0,001;30;10;0,213648617
SG;IMLE;5;10;5;100;0,001;1;10;0,213822633
SG;IMLE;1;5;5;100;0,001;30;30;0,214180201
SG;IMLE;1;10;5;100;0,001;10;10;0,215148211
SG;IMLE;1;5;5;100;0,001;10;10;0,21590431
SG;IMLE;10;5;5;100;0,001;1;50;0,215937883
SG;IMLE;1;10;5;100;0,001;30;50;0,216452152
SG;IMLE;10;10;5;100;0,001;1;50;0,217364132
SG;IMLE;1;10;5;100;0,001;10;50;0,217614651
SG;IMLE;10;5;5;100;0,001;1;30;0,218314186
SG;IMLE;10;5;5;100;0,001;1;10;0,219408944
SG;IMLE;1;5;5;100;0,001;30;50;0,219682455
SG;IMLE;1;5;5;100;0,001;10;50;0,221366405
SG;IMLE;1;10;5;100;0,001;10;30;0,222425997
SG;IMLE;5;5;5;100;0,001;1;30;0,222547188
SG;IMLE;5;5;5;100;0,001;1;50;0,223774016
SG;IMLE;5;5;5;100;0,001;1;10;0,225718915
SG;IMLE;5;10;5;100;0,001;1;50;0,227483884
SG;IMLE;1;10;5;100;0,001;1;10;0,229040831
SG;IMLE;1;10;5;100;0,001;1;30;0,233743295
SG;IMLE;1;5;5;100;0,001;1;30;0,245493963
SG;IMLE;1;10;5;100;0,001;1;50;0,245547444
SG;IMLE;1;5;5;100;0,001;1;50;0,246325836
SG;IMLE;1;5;5;100;0,001;1;10;0,2544505
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;1;50;0,466309816
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;1;30;0,468980461
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;1;10;0,47857669
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;10;10;0,551462948
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;10;50;0,55617255
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;10;30;0,557075202
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;30;50;0,60612905
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;30;30;0,60643518
SG;SPOPlus;#VALEUR!;#VALEUR!;5;100;0,001;30;10;0,608222842
cla;IMLE;5;10;5;200;0,01;0;0;0,234982297
cla;IMLE;1;10;5;200;0,01;0;0;0,244342342
cla;IMLE;1;10;5;200;0,001;0;0;0,245548993
cla;IMLE;10;10;5;200;0,01;0;0;0,245627016
cla;IMLE;10;1;5;200;0,01;0;0;0,256573707
cla;IMLE;5;1;5;200;0,01;0;0;0,263500422
cla;IMLE;10;10;5;200;0,1;0;0;0,274514377
cla;IMLE;1;1;5;200;0,001;0;0;0,277490944
cla;IMLE;1;1;5;200;0,01;0;0;0,280170321
cla;IMLE;1;100;5;200;0,1;0;0;0,280875772
cla;IMLE;5;10;5;200;0,1;0;0;0,281287462
cla;IMLE;1;10;5;200;0,1;0;0;0,288913697
cla;IMLE;5;100;5;200;0,1;0;0;0,308414459
cla;IMLE;5;10;5;200;0,001;0;0;0,31146118
cla;IMLE;10;100;5;200;0,1;0;0;0,320906401
cla;IMLE;10;1;5;200;0,1;0;0;0,335382611
cla;IMLE;5;1;5;200;0,001;0;0;0,345078409
cla;IMLE;5;1;5;200;0,1;0;0;0,345849156
cla;IMLE;10;100;5;200;0,01;0;0;0,365449667
cla;IMLE;1;100;5;200;0,01;0;0;0,366098136
cla;IMLE;5;100;5;200;0,01;0;0;0,368004858
cla;IMLE;1;1;5;200;0,1;0;0;0,368114769
cla;IMLE;1;100;5;200;0,001;0;0;0,368923366
cla;IMLE;10;10;5;200;0,001;0;0;0,385702461
cla;IMLE;5;100;5;200;0,001;0;0;0,44514361
cla;IMLE;10;100;5;200;0,001;0;0;0,451001883
cla;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,001;0;0;0,47153005
cla;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,01;0;0;0,518298566
cla;SPOPlus;#VALEUR!;#VALEUR!;5;200;0,1;0;0;0,604228973
LD;IMLE;5;100;5;200;0,1;0;0;0,312269837
LD;IMLE;10;100;5;200;0,1;0;0;0,312518835
LD;IMLE;1;100;5;200;0,1;0;0;0,320245206
LD;IMLE;10;10;5;200;0,1;0;0;0,323452145
LD;IMLE;5;10;5;200;0,1;0;0;0,323534131
LD;IMLE;10;10;5;200;0,01;0;0;0,32874459
LD;IMLE;1;10;5;200;0,1;0;0;0,339820474
LD;IMLE;10;1;5;200;0,01;0;0;0,34510079
LD;IMLE;10;1;5;200;0,1;0;0;0,348314822
LD;IMLE;5;1;5;200;0,01;0;0;0,35193792
LD;IMLE;5;10;5;200;0,01;0;0;0,359872043
LD;IMLE;5;1;5;200;0,1;0;0;0,362232119
LD;IMLE;1;10;5;200;0,01;0;0;0,364265293
LD;IMLE;1;1;5;200;0,01;0;0;0,386424333
LD;IMLE;1;1;5;200;0,1;0;0;0,412813932
