time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,best_relat_regret,best_epoch,epoch,patience,tl,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
3600,10,1,12,100,200,SG,1,5,SPOPlus,0.01,0.07528255323316707,371,372,5,3600,0.07528255347162485,0.03187116129109887,0.07654333587316796,0.032681849293404695
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.01,0.06447655210189226,198,199,5,3600,0.06447655225172638,0.028044023816131743,0.06292597748804837,0.02591296585138549
60,10,1,12,100,200,cla,0,0,IMLE,0.01,0.20656836168849557,6,6,5,60,0.20656836248934268,0.07189633458148938,0.20768886905163528,0.06452731101545114
3600,10,1,12,100,200,SG,1,30,SPOPlus,0.01,0.0818241605175584,133,134,5,3600,0.0818241611123085,0.03710711824935833,0.07824911349918694,0.03077178132995268
60,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.12767706191192718,7066,7066,5,60,0.12767706248909236,0.15242285481522508,0.13169763031601905,0.15738725280894061
30,10,1,12,100,200,cla,0,0,IMLE,0.1,0.1391423629020824,2,2,5,30,0.1391423636674881,0.045230121274515485,0.13940792952477932,0.053613281175247114
3600,10,1,12,100,200,SG,10,5,SPOPlus,0.01,0.09191762020927398,2603,2604,5,3600,0.09191762099042534,0.04112775126438847,0.09174549798667431,0.047468287139204764
3600,10,1,12,100,200,SG,10,10,SPOPlus,0.01,0.08480431685472427,2869,2870,5,3600,0.08480431698262691,0.04442220177949194,0.0831290322043933,0.041386124772129614
30,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.16106662770637115,70,70,5,30,0.1610666286945343,0.05782828744965658,0.15621420416235923,0.06021162451817834
60,10,1,12,100,200,cla,0,0,IMLE,0.1,0.08517142608523731,3,3,5,60,0.08517142649739981,0.038377867220150366,0.08655896124988795,0.04294083561425487
30,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.09119926964485599,3708,3708,5,30,0.09119926963932812,0.11289036360717575,0.08914184942189604,0.12301978092289856
3600,10,1,12,100,200,SG,1,50,SPOPlus,0.01,0.08735975474414111,78,79,5,3600,0.08735975528135896,0.03513682987223916,0.0832481322903186,0.03409557456405922
60,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.08999617106922314,7068,7068,5,60,0.08999617098830641,0.11094173470676014,0.08891965278610588,0.12164416721160952
60,10,1,12,100,200,cla,0,0,SPOPlus,0.001,0.10353979350038191,171,171,5,60,0.1035397937707603,0.043506629556427485,0.09939796824008226,0.04877848393433191
30,10,1,12,100,200,SG,1,10,IMLE,0.001,0.34608376369842486,2,3,5,30,0.34608376502990723,0.09493749129823036,0.3474118872284889,0.09376474044467993
30,10,1,12,100,200,SG,1,5,IMLE,0.001,0.3327737206340865,5,6,5,30,0.3327737211436033,0.0925794495615583,0.3385912023112178,0.09608183518254633
30,10,1,12,100,200,SG,1,30,IMLE,0.001,0.3820423262640526,0,1,5,30,0.3820423280447722,0.12203911580928399,0.37377609468251466,0.10501954927754827
30,10,1,12,100,200,SG,1,50,IMLE,0.001,0.39489419332462783,-1,0,5,30,0.3948941934108734,0.10963586272738132,0.38907163473963735,0.10743122035079748
30,10,1,12,100,200,SG,10,5,IMLE,0.001,0.2590524925879074,24,25,5,30,0.2590524934232235,0.08512133065330398,0.2563505027145147,0.07800722335512328
30,10,1,12,100,200,SG,10,30,IMLE,0.001,0.3062681684630966,7,8,5,30,0.30626816987991334,0.09786964651383745,0.31315284272283317,0.09357744644101407
30,10,1,12,100,200,SG,10,10,IMLE,0.001,0.3315708905266612,9,10,5,30,0.3315708912909031,0.09616162021686953,0.33256796951591966,0.09209001668361184
30,10,1,12,100,200,SG,10,50,IMLE,0.001,0.3808715282348308,-1,0,5,30,0.38087153002619745,0.10093002874177064,0.37315970844775437,0.09914198085804546
30,10,1,12,100,200,SG,30,5,IMLE,0.001,0.282023443342335,29,30,5,30,0.2820234441012144,0.08626798585126333,0.28355265336483715,0.08793727574169394
30,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.035004419211121005,29,29,5,30,0.03500441944692284,0.03502562116464694,0.03718826195364818,0.048633372602968544
30,10,1,12,100,200,SG,30,30,IMLE,0.001,0.31804184576561645,5,6,5,30,0.318041847422719,0.09030517610576046,0.3181352818608284,0.09379560016758691
30,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.037215734138544086,6,6,5,30,0.03721573431044817,0.03467259855651478,0.03600710809160955,0.04232149020068496
300,10,1,12,100,200,cla,0,0,IMLE,0.01,0.06922584440124437,21,21,5,300,0.06922584485262633,0.048032313887090713,0.07253421563841403,0.052294249365516715
30,10,1,12,100,200,SG,30,10,IMLE,0.001,0.2532647769339033,29,30,5,30,0.25326477736234665,0.0801353092453546,0.26326007618755104,0.08406501031542027
30,10,1,12,100,200,SG,30,50,IMLE,0.001,0.3727569840212706,-1,0,5,30,0.37275698520243167,0.1142627081198624,0.37341385037451985,0.10424530712855258
60,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.03600858548782824,37,37,5,60,0.03600858571240678,0.04049731721062478,0.03812320938706398,0.05179480602545177
300,10,1,12,100,200,cla,0,0,IMLE,0.1,0.0436008837673209,15,15,5,300,0.043600883865728975,0.03586113187302318,0.04445668144430965,0.04716969220173005
30,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2529882477027979,35,36,5,30,0.25298824690282345,0.06854929411911331,0.25990651540458204,0.08072340556008469
30,10,1,12,100,200,SG,50,10,IMLE,0.001,0.301442392485779,14,15,5,30,0.30144239351153373,0.0895197232485089,0.29904326977580786,0.08784092164841968
60,10,1,12,100,200,cla,0,0,SPOPlus,0.1,0.033976669323142306,8,8,5,60,0.03397666956298053,0.026859641651850494,0.034389065301744265,0.03752201466783915
30,10,1,12,100,200,SG,50,30,IMLE,0.001,0.3311267394108785,8,9,5,30,0.3311267391592264,0.09587543169338454,0.32659711109101774,0.09013671703342986
