Loading /quad/train_50_500_200_2-25.txt
Loading /quad/eval_50_100_200_2-25.txt
Loading /quad/test_50_200_200_2-25.txt
Restricted license - for non-production use only - expires 2026-11-23
Training the model with LD bound as loss...
Epoch 0 | loss: 0.0277 | train time : 0.35382962226867676
Epoch 312 | loss: 0.0030 | train time : 13.238507509231567
Epoch 313 | loss: 0.0030 | train time : 13.279664754867554
Epoch 314 | loss: 0.0029 | train time : 13.320783138275146
Epoch 315 | loss: 0.0029 | train time : 13.361858606338501
Epoch 316 | loss: 0.0030 | train time : 13.402950286865234
Epoch 317 | loss: 0.0030 | train time : 13.444007635116577
Epoch 318 | loss: 0.0028 | train time : 13.485033988952637
Epoch 319 | loss: 0.0027 | train time : 13.52611494064331
Epoch 320 | loss: 0.0029 | train time : 13.567205429077148
Epoch 321 | loss: 0.0029 | train time : 13.608291149139404
Epoch 322 | loss: 0.0029 | train time : 13.649283170700073
Epoch 323 | loss: 0.0029 | train time : 13.690276861190796
Epoch 324 | loss: 0.0029 | train time : 13.731391191482544
Epoch 325 | loss: 0.0029 | train time : 13.77241063117981
Epoch 326 | loss: 0.0029 | train time : 13.813518762588501
Epoch 327 | loss: 0.0027 | train time : 13.854536533355713
Epoch 328 | loss: 0.0030 | train time : 13.89555287361145
Epoch 329 | loss: 0.0029 | train time : 13.93671727180481
Epoch 330 | loss: 0.0030 | train time : 13.977751731872559
Epoch 331 | loss: 0.0029 | train time : 14.018888711929321
Epoch 332 | loss: 0.0029 | train time : 14.05997109413147
Epoch 333 | loss: 0.0029 | train time : 14.101049184799194
Epoch 334 | loss: 0.0028 | train time : 14.142061471939087
Epoch 335 | loss: 0.0030 | train time : 14.183096647262573
Epoch 336 | loss: 0.0030 | train time : 14.224220037460327
Epoch 337 | loss: 0.0029 | train time : 14.265454769134521
Epoch 338 | loss: 0.0030 | train time : 14.306645154953003
Epoch 339 | loss: 0.0029 | train time : 14.347653865814209
Epoch 340 | loss: 0.0030 | train time : 14.388644933700562
Epoch 341 | loss: 0.0029 | train time : 14.429633378982544
