n,jobtype,time limit,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
50,MSE,10,MSE,,,,5,15,0.031698036938905716,0.029813293367624283,0.014717758633196354,0.022686505690217018,0.02063966728746891,0.011221307329833508
50,MSE,60,MSE,,,,5,15,0.031698036938905716,0.029813293367624283,0.014717758633196354,0.022686505690217018,0.02063966728746891,0.011221307329833508
50,MSE,300,MSE,,,,5,15,0.031698036938905716,0.029813293367624283,0.014717758633196354,0.022686505690217018,0.02063966728746891,0.011221307329833508
50,MSE,600,MSE,,,,5,15,0.03169803500175476,0.029813293367624283,0.014420399230622346,0.022686504802154377,0.020640884526073933,0.011220746326790158
50,SG,10,Exact,,,,1,10,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,1,10,0.039875950664281845,0.03861940652132034,0.014977606944739819,0.03114386647939682,0.02915116772055626,0.012803847901523113
50,SG,300,Exact,,,,1,10,0.032309774309396744,0.030796770006418228,0.013315001502633095,0.023704199120402336,0.02176600508391857,0.011843872256577015
50,SG,600,Exact,,,,1,10,0.032309775799512865,0.030796770006418228,0.013045983679833032,0.023704197638412007,0.021766099147498608,0.011843279582573684
50,SG,10,Exact,,,,1,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,1,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,300,Exact,,,,1,20,0.03542614355683327,0.03527279943227768,0.014277180656790733,0.026317577809095383,0.024364929646253586,0.011943104676902294
50,SG,600,Exact,,,,1,20,0.033277214653789994,0.031369585543870926,0.013435863540339021,0.024334713375917635,0.02234587073326111,0.01175050754574372
50,SG,10,Exact,,,,20,10,0.03257661685347557,0.03243900090456009,0.013143202289938927,0.02403498999774456,0.022146020084619522,0.011826793663203716
50,SG,60,Exact,,,,20,10,0.03193294629454613,0.030306799337267876,0.012933772057294846,0.02400347776710987,0.022081350907683372,0.01160209346562624
50,SG,300,Exact,,,,20,10,0.03193294629454613,0.030306799337267876,0.012933772057294846,0.02400347776710987,0.022081350907683372,0.01160209346562624
50,SG,600,Exact,,,,20,10,0.03193294558674097,0.030306799337267876,0.01267245644267407,0.02400347970421426,0.022086437791585922,0.011601513118343608
50,SG,10,Exact,,,,20,20,0.03642952814698219,0.03573404252529144,0.01423483807593584,0.027670012786984444,0.025687474757432938,0.01217202190309763
50,SG,60,Exact,,,,20,20,0.03223642334342003,0.03104388527572155,0.013196221552789211,0.023872969672083855,0.021997883915901184,0.01160835288465023
50,SG,300,Exact,,,,20,20,0.03223642334342003,0.03104388527572155,0.013196221552789211,0.023872969672083855,0.021997883915901184,0.01160835288465023
50,SG,600,Exact,,,,20,20,0.032187570817768574,0.02990574762225151,0.012891055755309806,0.02372425664155744,0.021791884675621986,0.011749360189175759
50,SG,10,Exact,,,,5,20,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,5,20,0.032459232956171036,0.03046763874590397,0.013514038175344467,0.023807693272829056,0.021872902289032936,0.011898227035999298
50,SG,300,Exact,,,,5,20,0.03229124844074249,0.030361080542206764,0.013149515725672245,0.023815350607037544,0.02194066531956196,0.01182925421744585
50,SG,600,Exact,,,,5,20,0.03229124914854765,0.030361080542206764,0.012883841876421094,0.023815350007545203,0.02194205764681101,0.011828662998518447
50,SG,10,Exact,,,,5,10,0.20294462144374847,0.20335476100444794,0.07523809373378754,0.20752397179603577,0.2006159871816635,0.05831480771303177
50,SG,60,Exact,,,,5,10,0.032314348965883255,0.030689695850014687,0.013349105603992939,0.02378646470606327,0.021908463910222054,0.011910074390470982
50,SG,300,Exact,,,,5,10,0.03229658305644989,0.030389627441763878,0.01305613573640585,0.02395843341946602,0.022082071751356125,0.011736809276044369
50,SG,600,Exact,,,,5,10,0.03226435106247663,0.030043022707104683,0.012847951112007044,0.023779263669089414,0.021857484243810177,0.011726769868464973
50,classic,10,SPOPlus,,,,5,15,0.02250721864402294,0.020072683691978455,0.011845836415886879,0.028684519231319427,0.027509167790412903,0.015182875096797943
50,classic,60,SPOPlus,,,,5,15,0.02047180011868477,0.01889318786561489,0.011410863138735294,0.026115717366337776,0.024474842473864555,0.01407539565116167
