n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,IMLE,5.0,5.0,0.1,5,15,0.2298827916383743,0.0520455949008464,0.2319107502698898,0.0511149726808071
50,classic,IMLE,5.0,20.0,1.0,5,15,0.1380370855331421,0.0374481379985809,0.1225140988826751,0.0368216671049594
50,SG,Exact,,,,5,30,0.1501720994710922,0.0378412343561649,0.1304616779088974,0.0374615341424942
50,classic,IMLE,5.0,5.0,0.5,5,15,0.2309774756431579,0.0487010106444358,0.2301006466150283,0.0484327115118503
50,classic,IMLE,5.0,5.0,1.0,5,15,0.141223520040512,0.0386869832873344,0.1228163838386535,0.0369472838938236
50,classic,IMLE,5.0,5.0,2.0,5,15,0.1904564052820205,0.0400426276028156,0.1459190994501114,0.0378330647945404
50,classic,SPOPlus,,,,5,15,0.1655025482177734,0.0428864508867263,0.1294855922460556,0.0375163741409778
50,LD,IMLE,10.0,10.0,0.1,5,15,0.2202395796775818,0.0455741062760353,0.2271286249160766,0.0471418797969818
50,LD,IMLE,10.0,10.0,0.5,5,15,0.2223380208015442,0.0460299327969551,0.2264818400144577,0.0491895750164985
50,LD,IMLE,10.0,1.0,0.1,5,15,0.2303880900144577,0.0437427498400211,0.2257859855890274,0.0475674830377101
50,LD,IMLE,10.0,10.0,2.0,5,15,0.1590666621923446,0.0414491258561611,0.1333157569169998,0.0380080305039882
50,LD,IMLE,10.0,1.0,0.5,5,15,0.2245323359966278,0.047916691750288,0.2293725907802581,0.0479393377900123
50,LD,IMLE,10.0,10.0,1.0,5,15,0.1550091207027435,0.0314897187054157,0.1361589580774307,0.0397729352116584
50,LD,IMLE,10.0,1.0,1.0,5,15,0.1518316268920898,0.0387017019093036,0.1343603879213333,0.0404850617051124
50,LD,IMLE,10.0,1.0,2.0,5,15,0.1768096089363098,0.0421785488724708,0.167261466383934,0.0449645854532718
50,LD,IMLE,10.0,20.0,0.1,5,15,0.2308889329433441,0.0477684251964092,0.2264944016933441,0.051719531416893
50,LD,IMLE,10.0,20.0,0.5,5,15,0.2265956699848175,0.0474364683032035,0.2260981351137161,0.0502851381897926
50,LD,IMLE,10.0,20.0,2.0,5,15,0.1584693044424057,0.0388911999762058,0.13311168551445,0.0363201610743999
50,LD,IMLE,10.0,20.0,1.0,5,15,0.1578678637742996,0.0396676063537597,0.1358382254838943,0.0395122803747653
50,LD,IMLE,10.0,5.0,1.0,5,15,0.1599678099155426,0.0386101491749286,0.1360952407121658,0.0403309650719165
50,LD,IMLE,10.0,5.0,0.5,5,15,0.2303178757429123,0.0473329909145832,0.2247261554002761,0.0490636304020881
50,LD,IMLE,10.0,5.0,0.1,5,15,0.2240422815084457,0.0456416346132755,0.2272139936685562,0.0492823161184787
50,LD,IMLE,10.0,5.0,2.0,5,15,0.1685102134943008,0.0400922745466232,0.1417924463748932,0.043063461780548
50,LD,IMLE,1.0,10.0,0.1,5,15,0.2202055007219314,0.0453017950057983,0.2267330288887024,0.0467268377542495
50,LD,IMLE,1.0,10.0,2.0,5,15,0.1564257442951202,0.0419407673180103,0.1336435973644256,0.0404812656342983
50,LD,IMLE,1.0,10.0,1.0,5,15,0.1612641215324401,0.0327839665114879,0.1369144320487976,0.0408238358795642
50,LD,IMLE,1.0,1.0,1.0,5,15,0.1538542360067367,0.0373050309717655,0.1354262828826904,0.0406449697911739
50,LD,IMLE,1.0,10.0,0.5,5,15,0.2255834341049194,0.0421916358172893,0.229888305068016,0.0453818850219249
50,LD,IMLE,1.0,1.0,0.5,5,15,0.2207595109939575,0.0453538484871387,0.2269086837768554,0.0468352101743221
50,LD,IMLE,1.0,1.0,0.1,5,15,0.2212889790534973,0.0408390425145626,0.2281930744647979,0.0477234125137329
50,LD,IMLE,1.0,1.0,2.0,5,15,0.1874613016843795,0.0487051270902156,0.1624969542026519,0.04507302865386
50,LD,IMLE,1.0,20.0,2.0,5,15,0.1640165001153946,0.0412615463137626,0.1312499940395355,0.0387966744601726
50,LD,IMLE,1.0,20.0,0.1,5,15,0.2252430468797683,0.0450119413435459,0.2240191251039505,0.0471548028290271
50,LD,IMLE,1.0,20.0,1.0,5,15,0.1567181050777435,0.0389237478375434,0.1379131078720092,0.0412816330790519
50,LD,IMLE,1.0,20.0,0.5,5,15,0.2308230400085449,0.0477467402815818,0.2320823222398758,0.0502468086779117
50,LD,IMLE,1.0,5.0,0.5,5,15,0.2257300913333892,0.0453014336526393,0.224477469921112,0.0467596501111984
50,LD,IMLE,1.0,5.0,0.1,5,15,0.2266932725906372,0.0494379326701164,0.2287306785583496,0.0463284030556678
50,LD,IMLE,5.0,10.0,0.5,5,15,0.2281517535448074,0.0482291169464588,0.2236809730529785,0.047894362360239
50,LD,IMLE,5.0,10.0,0.1,5,15,0.2252039909362793,0.0419497564435005,0.2296110689640045,0.0445756614208221
50,LD,IMLE,1.0,5.0,1.0,5,15,0.1592341214418411,0.0396383106708526,0.1363948583602905,0.0402771048247814
50,LD,IMLE,1.0,5.0,2.0,5,15,0.1770727336406707,0.0450325980782508,0.1399804055690765,0.0394386872649192
50,LD,IMLE,5.0,10.0,2.0,5,15,0.1605889648199081,0.0460106693208217,0.131440207362175,0.0365872271358966
50,LD,IMLE,5.0,1.0,1.0,5,15,0.1558935344219207,0.0374396741390228,0.137039303779602,0.0408295802772045
50,LD,IMLE,5.0,10.0,1.0,5,15,0.1590456217527389,0.0372269749641418,0.1371651142835617,0.0402107536792755
50,LD,IMLE,5.0,20.0,0.5,5,15,0.2243277877569198,0.0424906350672245,0.229042112827301,0.0444632321596145
50,LD,IMLE,5.0,20.0,2.0,5,15,0.1597554981708526,0.0368105918169021,0.1321575343608856,0.0371357463300228
50,LD,IMLE,5.0,20.0,0.1,5,15,0.2301475703716278,0.0417682267725467,0.2282794564962387,0.0454802326858043
50,LD,IMLE,5.0,1.0,0.5,5,15,0.2302306294441223,0.0481534376740455,0.22672039270401,0.0510213039815425
50,LD,IMLE,5.0,1.0,2.0,5,15,0.1821715533733368,0.047826625406742,0.1613439917564392,0.0426711849868297
50,LD,IMLE,5.0,20.0,1.0,5,15,0.1560797393321991,0.0384424403309822,0.1371578574180603,0.0403526835143566
50,LD,IMLE,5.0,1.0,0.1,5,15,0.2250902205705642,0.0461206473410129,0.2252557426691055,0.0479324050247669
50,LD,IMLE,5.0,5.0,2.0,5,15,0.1665737777948379,0.0440447032451629,0.139395534992218,0.0391258895397186
50,LD,IMLE,5.0,5.0,1.0,5,15,0.1568347811698913,0.0366675592958927,0.1365016400814056,0.0401794724166393
50,LD,IMLE,5.0,5.0,0.5,5,15,0.2254906445741653,0.0464272126555442,0.2231607586145401,0.0422154366970062
50,LD,IMLE,5.0,5.0,0.1,5,15,0.2275308221578598,0.0466154105961322,0.2268088907003402,0.0501346699893474
50,LD,SPOPlus,,,,5,15,0.157715618610382,0.0357129611074924,0.1318701356649398,0.0378679037094116
50,SG,IMLE,10.0,10.0,0.1,10,20,0.2153688371181488,0.0496520474553108,0.2282082140445709,0.0515220798552036
50,SG,IMLE,10.0,10.0,0.1,10,30,0.2206553220748901,0.0448831208050251,0.2266966104507446,0.0483306348323822
50,SG,IMLE,10.0,10.0,0.1,10,10,0.2193065285682678,0.0442743636667728,0.2267445772886276,0.0485804267227649
50,SG,IMLE,10.0,10.0,0.1,15,30,0.2309157252311706,0.0497827306389808,0.2307244539260864,0.0508673675358295
50,SG,IMLE,10.0,10.0,0.1,15,10,0.2182022035121917,0.046389665454626,0.2257541418075561,0.0512551479041576
50,SG,IMLE,10.0,10.0,0.1,15,20,0.2213674187660217,0.0470353104174137,0.2259125709533691,0.0549028702080249
50,SG,IMLE,10.0,10.0,0.1,20,10,0.2202374339103698,0.0417466610670089,0.2248509526252746,0.0481513924896717
50,SG,IMLE,10.0,10.0,0.1,20,20,0.2226582169532776,0.0457994230091571,0.2286427170038223,0.051264252513647
50,SG,IMLE,10.0,10.0,0.1,20,30,0.2221242189407348,0.051627118140459,0.2229756563901901,0.0533349588513374
50,SG,IMLE,10.0,10.0,0.1,5,10,0.2230964452028274,0.0494646169245243,0.2273942530155182,0.049225278198719
50,SG,IMLE,10.0,10.0,0.1,5,20,0.2185525447130203,0.0439432449638843,0.2267516702413559,0.0467003881931304
50,SG,IMLE,10.0,10.0,0.5,10,20,0.2210385501384735,0.0462352856993675,0.2293930053710937,0.0505588799715042
50,SG,IMLE,10.0,10.0,0.1,5,30,0.2227024435997009,0.0376332774758338,0.2225291430950164,0.0492597185075283
50,SG,IMLE,10.0,10.0,0.5,10,10,0.2198031842708587,0.0464155934751033,0.2287733256816864,0.0492878556251525
50,SG,IMLE,10.0,10.0,0.5,10,30,0.2171434909105301,0.0542524568736553,0.2294484376907348,0.0471557267010211
50,SG,IMLE,10.0,10.0,0.5,15,20,0.2200740873813629,0.0461659468710422,0.2246753275394439,0.0463635250926017
50,SG,IMLE,10.0,10.0,0.5,15,10,0.2205345183610916,0.0503550469875335,0.2242927402257919,0.0442845486104488
50,SG,IMLE,10.0,10.0,0.5,5,20,0.2212206423282623,0.0484345965087413,0.2269597202539444,0.0522242374718189
50,SG,IMLE,10.0,10.0,0.5,5,10,0.2198197990655899,0.0504355616867542,0.2278768867254257,0.0452798306941986
50,SG,IMLE,10.0,10.0,0.5,20,30,0.225453644990921,0.0422745831310749,0.2295885533094406,0.0453095473349094
