n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,classic,IMLE,5,1.0,1.0,5,15,0.1386891007423401,0.0398126095533371,0.12251531332731247,0.0369778573513031
50,classic,IMLE,5,10.0,2.0,5,15,0.19696344435214996,0.04314277321100235,0.1401781588792801,0.03688148409128189
50,classic,IMLE,5,1.0,0.5,5,15,0.22472843527793884,0.04123649373650551,0.2255210429430008,0.0482899434864521
50,classic,IMLE,5,10.0,0.1,5,15,0.2202504575252533,0.04460006207227707,0.2263835072517395,0.04958139359951019
50,classic,IMLE,5,1.0,0.1,5,15,0.22574539482593536,0.044547609984874725,0.22966934740543365,0.048830341547727585
50,classic,IMLE,5,10.0,0.5,5,15,0.23019205033779144,0.04632088541984558,0.22558853030204773,0.04680456593632698
50,classic,IMLE,5,10.0,1.0,5,15,0.13396351039409637,0.032772958278656006,0.1219252496957779,0.03701386600732803
50,SG,Exact,,,,5,20,0.14866803586483002,0.034689076244831085,0.13161659240722656,0.03880834951996803
50,classic,IMLE,1,5.0,2.0,5,15,0.2127867490053177,0.045449938625097275,0.16979673504829407,0.04513417184352875
50,classic,IMLE,5,20.0,2.0,5,15,0.16791166365146637,0.03928682953119278,0.12856023013591766,0.038871828466653824
50,classic,IMLE,5,20.0,0.5,5,15,0.224009707570076,0.046715788543224335,0.22907504439353943,0.04656476899981499
50,classic,IMLE,5,1.0,2.0,5,15,0.22194400429725647,0.04287833347916603,0.20185062289237976,0.04728369414806366
50,classic,IMLE,5,20.0,0.1,5,15,0.21868343651294708,0.03912348672747612,0.23075973987579346,0.04860088974237442
50,classic,IMLE,5,5.0,0.1,5,15,0.22988279163837433,0.05204559490084648,0.23191075026988983,0.051114972680807114
50,classic,IMLE,5,20.0,1.0,5,15,0.1380370855331421,0.03744813799858093,0.12251409888267517,0.03682166710495949
50,SG,Exact,,,,5,30,0.15017209947109222,0.03784123435616493,0.1304616779088974,0.0374615341424942
50,classic,IMLE,5,5.0,0.5,5,15,0.23097747564315796,0.04870101064443588,0.23010064661502838,0.04843271151185036
50,classic,IMLE,5,5.0,1.0,5,15,0.14122352004051208,0.03868698328733444,0.12281638383865356,0.036947283893823624
50,classic,IMLE,5,5.0,2.0,5,15,0.19045640528202057,0.04004262760281563,0.1459190994501114,0.037833064794540405
50,classic,SPOPlus,,,,5,15,0.16550254821777344,0.04288645088672638,0.1294855922460556,0.03751637414097786
50,LD,IMLE,10,10.0,0.1,5,15,0.2202395796775818,0.04557410627603531,0.22712862491607666,0.04714187979698181
50,LD,IMLE,10,10.0,0.5,5,15,0.2223380208015442,0.04602993279695511,0.2264818400144577,0.049189575016498566
50,LD,IMLE,10,1.0,0.1,5,15,0.2303880900144577,0.04374274984002113,0.2257859855890274,0.04756748303771019
50,LD,IMLE,10,10.0,2.0,5,15,0.15906666219234467,0.04144912585616112,0.13331575691699982,0.038008030503988266
50,LD,IMLE,10,1.0,0.5,5,15,0.2245323359966278,0.04791669175028801,0.22937259078025818,0.04793933779001236
50,LD,IMLE,10,10.0,1.0,5,15,0.15500912070274353,0.031489718705415726,0.13615895807743073,0.03977293521165848
50,LD,IMLE,10,1.0,1.0,5,15,0.15183162689208984,0.038701701909303665,0.1343603879213333,0.04048506170511246
50,LD,IMLE,10,1.0,2.0,5,15,0.17680960893630981,0.042178548872470856,0.16726146638393402,0.044964585453271866
50,LD,IMLE,10,20.0,0.1,5,15,0.23088893294334412,0.047768425196409225,0.22649440169334412,0.051719531416893005
50,LD,IMLE,10,20.0,0.5,5,15,0.2265956699848175,0.04743646830320358,0.22609813511371613,0.05028513818979263
50,LD,IMLE,10,20.0,2.0,5,15,0.1584693044424057,0.038891199976205826,0.13311168551445007,0.03632016107439995
50,LD,IMLE,10,20.0,1.0,5,15,0.15786786377429962,0.039667606353759766,0.13583822548389435,0.039512280374765396
50,LD,IMLE,10,5.0,1.0,5,15,0.1599678099155426,0.038610149174928665,0.13609524071216583,0.04033096507191658
