time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
60,10,1,12,100,200,SG,10,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.21785563230514526,0.2073170691728592,0.07475245743989944,0.21967492997646332,0.21910113096237183,0.06998424977064133
1800,10,1,12,100,200,SG,10,10,IMLE,0.001,0.21761953830718994,0.2073170691728592,0.07471410185098648,0.2192946821451187,0.21904762089252472,0.06993699073791504
3600,10,1,12,100,200,SG,10,10,IMLE,0.001,0.2173766675591469,0.20572540909051895,0.07412484669184319,0.21739297588914633,0.21828631311655045,0.06944048998292898
60,10,1,12,100,200,SG,1,5,IMLE,0.001,0.3535221219062805,0.36097562313079834,0.11049223691225052,0.360009104013443,0.37037035822868347,0.10497353971004486
600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.31014806032180786,0.31142857670783997,0.0925646647810936,0.3076617121696472,0.31513646245002747,0.08872074633836746
1800,10,1,12,100,200,SG,1,5,IMLE,0.001,0.2713133692741394,0.2740524709224701,0.08280918002128601,0.27375343441963196,0.27799227833747864,0.0805463194847107
3600,10,1,12,100,200,SG,1,5,IMLE,0.001,0.26808782435953615,0.27156126499176025,0.08147784906290617,0.2711871406212449,0.27553968131542206,0.08005479392020245
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.24475522339344025,0.2432432472705841,0.07672093063592911,0.24594277143478394,0.24836601316928864,0.0734681636095047
1800,10,1,12,100,200,SG,5,10,IMLE,0.001,0.20115509629249573,0.19004975259304047,0.06581079959869385,0.2054196298122406,0.20454545319080353,0.06648167967796326
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2006853248924017,0.1901468262076378,0.06569823188110886,0.2047112354747951,0.2027338370680809,0.06616625337778732
60,10,1,12,100,200,SG,20,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.27659547328948975,0.2699114978313446,0.08413431793451309,0.2767074704170227,0.2813238799571991,0.08123084902763367
1800,10,1,12,100,200,SG,20,20,IMLE,0.001,0.2714228928089142,0.26829269528388977,0.08501230925321579,0.2740764915943146,0.27819550037384033,0.0807293951511383
3600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.27022154316306113,0.2691020965576172,0.08355604832289854,0.2731820094883442,0.2770570367574692,0.08063762578002959
60,10,1,12,100,200,SG,5,5,IMLE,0.001,0.33224132657051086,0.3481414318084717,0.10191737115383148,0.33864709734916687,0.347517728805542,0.09715844690799713
600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.22469712793827057,0.21268656849861145,0.07504350692033768,0.22659264504909515,0.22678185999393463,0.07126353681087494
1800,10,1,12,100,200,SG,5,5,IMLE,0.001,0.22291356325149536,0.2075471729040146,0.07519810646772385,0.22419856488704681,0.2242647111415863,0.07143552601337433
3600,10,1,12,100,200,SG,5,5,IMLE,0.001,0.22249325335025788,0.2082512006163597,0.07447456517066153,0.2239889588430524,0.2243482619524002,0.07128198234233939
60,10,1,12,100,200,SG,5,20,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.3314601182937622,0.3417721390724182,0.10173773765563965,0.33570656180381775,0.34246575832366943,0.09696120023727417
1800,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2824183404445648,0.28037384152412415,0.08534508943557739,0.2857497036457062,0.29182878136634827,0.08343677222728729
3600,10,1,12,100,200,SG,5,20,IMLE,0.001,0.2636186970770359,0.2650384306907654,0.07601458096754775,0.2687873444408178,0.2708128094673157,0.07815505551552743
60,10,1,12,100,200,SG,10,5,IMLE,0.001,0.31508204340934753,0.3272727131843567,0.09267054498195648,0.3176656663417816,0.32543298602104187,0.09195601940155029
600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.190984308719635,0.1808510571718216,0.06737365573644638,0.19647453725337982,0.19083969295024872,0.06843022257089615
1800,10,1,12,100,200,SG,10,5,IMLE,0.001,0.18952102959156036,0.18048781156539917,0.06681502610445023,0.19573280215263367,0.1900826394557953,0.0683324933052063
3600,10,1,12,100,200,SG,10,5,IMLE,0.001,0.18807453386485576,0.18052705377340317,0.06564639367667749,0.19523870239406824,0.19001338630914688,0.06809490848483618
60,10,1,12,100,200,SG,20,10,IMLE,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,20,10,IMLE,0.001,0.2357340306043625,0.22535210847854614,0.0743124708533287,0.2371010035276413,0.23664122819900513,0.07290390878915787
1800,10,1,12,100,200,SG,20,10,IMLE,0.001,0.23423385620117188,0.22535210847854614,0.0744994580745697,0.23543035984039307,0.23404255509376526,0.07296296209096909
3600,10,1,12,100,200,SG,20,10,IMLE,0.001,0.23202943801879883,0.22461635619401932,0.07276911855844619,0.2346270259320736,0.2328505739569664,0.07265021016841959
60,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2756747901439667,0.27167630195617676,0.08403270691633224,0.2758786380290985,0.282282292842865,0.08057104796171188
600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2357037365436554,0.2261904776096344,0.07523930072784424,0.23950602114200592,0.2393617033958435,0.07313013821840286
1800,10,1,12,100,200,SG,20,5,IMLE,0.001,0.23500141501426697,0.22332505881786346,0.07531902194023132,0.23779399693012238,0.23758099973201752,0.07276426255702972
3600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.23330544129014016,0.22503554075956345,0.07305158220739669,0.2356207089200616,0.23588146269321442,0.07308929686109425
