time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
3600,10,1,12,100,200,SG,10,20,IMLE,0.001,0.28675879336893556,0.2918681353330612,0.08559892285254186,0.29127367812395094,0.29583896696567535,0.0848400416808253
60,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.24747271835803986,0.2442019134759903,0.07418371737003326,0.24618899822235107,0.2467532455921173,0.07282479107379913
1800,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.22174754738807678,0.22380952537059784,0.06689230352640152,0.21995097398757935,0.21963189542293549,0.06313372403383255
3600,10,1,12,100,200,SG,1,5,SPOPlus,0.001,0.22174753338098527,0.22437316924333572,0.06655700421939806,0.2199509589970112,0.21977445483207703,0.06310214840004912
60,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.23442229628562927,0.23161189258098602,0.07136120647192001,0.23567821085453033,0.23595505952835083,0.0705115869641304
1800,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.22247886657714844,0.2261904776096344,0.06652254611253738,0.22396105527877808,0.2222222238779068,0.06601332873106003
3600,10,1,12,100,200,SG,1,10,SPOPlus,0.001,0.22247887678444386,0.22644927352666855,0.06618909454695386,0.2239610631465912,0.2222222238779068,0.06598031074485419
60,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.29414233565330505,0.3047337234020233,0.0884251594543457,0.29961565136909485,0.30290457606315613,0.08671082556247711
1800,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.2397402822971344,0.24230769276618958,0.07309052348136902,0.24318194389343262,0.24568966031074524,0.07263942807912827
3600,10,1,12,100,200,SG,1,20,SPOPlus,0.001,0.23798877909779548,0.23929012566804886,0.07238490278733989,0.2411764744743705,0.24423179030418396,0.07224428011747894
60,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.26989319920539856,0.2774566411972046,0.07693525403738022,0.2711198627948761,0.27272728085517883,0.07745714485645294
600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.2454637885093689,0.23738062381744385,0.06804131716489792,0.24064379930496216,0.23999999463558197,0.06784873455762863
1800,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.24225273728370667,0.23738062381744385,0.06590639054775238,0.23748807609081268,0.23643670976161957,0.06636776030063629
3600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.2394434978067875,0.23962054401636124,0.06398771854335406,0.2329783301204443,0.23324697464704514,0.06481866225394448
60,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.2700541913509369,0.27988338470458984,0.07566476613283157,0.27383458614349365,0.27586206793785095,0.07716422528028488
600,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.2547626793384552,0.2545824944972992,0.07204698771238327,0.25046366453170776,0.25,0.06994902342557907
1800,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.2510627508163452,0.25,0.06984803825616837,0.24437150359153748,0.24390244483947754,0.0677984207868576
3600,10,1,12,100,200,SG,20,10,SPOPlus,0.001,0.24165091678500175,0.23422642052173615,0.0625301291290048,0.23469949124753475,0.23395676165819168,0.06484541154338284
60,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.25374218821525574,0.2516922950744629,0.06833382695913315,0.24828268587589264,0.24864864349365234,0.06878224015235901
600,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.25156307220458984,0.25,0.06686623394489288,0.2445414960384369,0.24372759461402893,0.06775252521038055
1800,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.24471761286258698,0.24074074625968933,0.06512824445962906,0.2374480962753296,0.23749999701976776,0.06530933082103729
3600,10,1,12,100,200,SG,10,5,SPOPlus,0.001,0.2338017103075981,0.23229201883077621,0.05897793643042325,0.22559768014401196,0.22526083141565323,0.06167075722549961
60,10,1,12,100,200,SG,5,10,IMLE,0.001,0.318019300699234,0.32300883531570435,0.09830133616924286,0.3175411820411682,0.3218390941619873,0.09194169193506241
600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.26140204071998596,0.2639485001564026,0.0807875245809555,0.2621650695800781,0.26498422026634216,0.07858635485172272
1800,10,1,12,100,200,SG,5,10,IMLE,0.001,0.2594496011734009,0.2639485001564026,0.07816604524850845,0.2612920105457306,0.2648221254348755,0.07810195535421371
3600,10,1,12,100,200,SG,5,10,IMLE,0.001,0.25786674179136754,0.2635532021522522,0.07676457850779786,0.25962026677280664,0.26273147761821747,0.07724631299359586
60,10,1,12,100,200,SG,20,20,IMLE,0.001,0.303972065448761,0.3041474521160126,0.09481724351644516,0.30692386627197266,0.3125,0.08948613703250885
600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.29474717378616333,0.29629629850387573,0.09145015478134155,0.296126127243042,0.3020833432674408,0.08638212829828262
1800,10,1,12,100,200,SG,20,20,IMLE,0.001,0.29093292355537415,0.29230770468711853,0.08753541111946106,0.2939220666885376,0.2976190447807312,0.08563901484012604
3600,10,1,12,100,200,SG,20,20,IMLE,0.001,0.2869834291189909,0.29009324312210083,0.08621630516289606,0.2904256466701627,0.295046404004097,0.08457959786434423
60,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.30389392375946045,0.30894309282302856,0.08719341456890106,0.3109564185142517,0.31833910942077637,0.08786984533071518
600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.24406619369983673,0.2433333396911621,0.06961887329816818,0.24092812836170197,0.2397260218858719,0.06880348920822144
1800,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.2428557574748993,0.23738062381744385,0.06891820579767227,0.23896147310733795,0.23834197223186493,0.06812720000743866
