time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,mean_relat_eval,median_relat_eval,std_relat_eval,mean_relat_test,median_relat_test,std_relat_test
3600,10,1,12,100,200,SG,20,20,SPOPlus,0.001,0.3045055112242699,0.3180268108844757,0.083262254490264,0.3134290523082018,0.31707316637039185,0.08513110235357937
60,10,1,12,100,200,SG,20,5,IMLE,0.001,0.3079427480697632,0.31284916400909424,0.09221285581588745,0.3073841631412506,0.31612902879714966,0.08956925570964813
600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.28993216156959534,0.29608938097953796,0.0883210301399231,0.28869858384132385,0.29487180709838867,0.08556424826383591
1800,10,1,12,100,200,SG,20,5,IMLE,0.001,0.2866640090942383,0.2945273518562317,0.08812593668699265,0.2864171862602234,0.2923976480960846,0.08474481105804443
3600,10,1,12,100,200,SG,20,5,IMLE,0.001,0.28337756417691706,0.28849293291568756,0.08851137283121513,0.28334237951785324,0.29032257199287415,0.08325536519408522
60,10,1,12,100,200,SG,20,5,SPOPlus,0.001,0.31572258472442627,0.3243243098258972,0.08897357434034348,0.3251800239086151,0.3298611044883728,0.0881187841296196
600,10,1,12,100,200,SG,20,5,SPOPlus,0.001,0.30117568373680115,0.3101736903190613,0.0810033455491066,0.3104495406150818,0.3132639229297638,0.08226658403873444
1800,10,1,12,100,200,SG,20,5,SPOPlus,0.001,0.3002135157585144,0.3053097426891327,0.08116500824689865,0.30925652384757996,0.3113122284412384,0.08177655190229416
3600,10,1,12,100,200,SG,20,5,SPOPlus,0.001,0.29654288962483405,0.30417153239250183,0.07868950006943942,0.3052879301533103,0.30592626333236694,0.08069335799283453
60,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.30943843722343445,0.3165680468082428,0.08548509329557419,0.3180679976940155,0.3216080367565155,0.08692160248756409
1800,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.3049629330635071,0.31081080436706543,0.08413872122764587,0.3126436471939087,0.31707316637039185,0.08498859405517578
3600,10,1,12,100,200,SG,5,10,SPOPlus,0.001,0.30436666756868364,0.3111196905374527,0.08411202473640916,0.31245743565261364,0.3168693631887436,0.0849091543909451
60,10,1,12,100,200,SG,5,5,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,5,SPOPlus,0.001,0.30125322937965393,0.3050719201564789,0.08350911736488342,0.3089333772659302,0.3100775182247162,0.08229035884141922
1800,10,1,12,100,200,SG,5,5,SPOPlus,0.001,0.2850762605667114,0.28877004981040955,0.07695876061916351,0.29189813137054443,0.2916666567325592,0.07552726566791534
3600,10,1,12,100,200,SG,5,5,SPOPlus,0.001,0.2846263125538826,0.2888936996459961,0.07664120490529075,0.29152084832638503,0.29115618765354156,0.07550612412415024
60,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
600,10,1,12,100,200,SG,5,20,SPOPlus,0.001,0.36455604434013367,0.37560975551605225,0.11301002651453018,0.37171465158462524,0.3821989595890045,0.10760722309350967
